09:42:54,733 INFO  [MauiModelBuilder] -- Building the model... 
09:42:54,798 INFO  [MauiModelBuilder] --- Loading the vocabulary...
09:42:54,800 INFO  [Vocabulary] --- Loading RDF model from the SKOS file...
09:42:55,039 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 9 column 35): {W130} Base URI is "", relative URIs left as relative.: <r>
09:42:55,045 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 12 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/1>
09:42:55,080 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 15 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/2>
09:42:55,081 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 18 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/3>
09:42:55,081 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 21 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/4>
09:42:55,082 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 24 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/5>
09:42:55,082 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 27 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/6>
09:42:55,083 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 30 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/7>
09:42:55,083 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 33 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/8>
09:42:55,084 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 36 column 32): {W130} Base URI is "", relative URIs left as relative.: <r/9>
09:42:55,085 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 39 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/10>
09:42:55,086 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 42 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/11>
09:42:55,086 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 45 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/12>
09:42:55,087 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 48 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/13>
09:42:55,087 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 51 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/14>
09:42:55,088 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 54 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/15>
09:42:55,088 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 57 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/16>
09:42:55,089 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 60 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/17>
09:42:55,089 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 63 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/18>
09:42:55,089 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 66 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/19>
09:42:55,090 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 69 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/20>
09:42:55,090 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 72 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/21>
09:42:55,091 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 75 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/22>
09:42:55,091 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 78 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/23>
09:42:55,092 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 81 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/24>
09:42:55,093 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 84 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/25>
09:42:55,093 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 87 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/26>
09:42:55,094 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 90 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/27>
09:42:55,094 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 93 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/28>
09:42:55,095 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 96 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/29>
09:42:55,095 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 99 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/30>
09:42:55,096 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 102 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/31>
09:42:55,096 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 105 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/32>
09:42:55,097 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 108 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/33>
09:42:55,097 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 111 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/34>
09:42:55,098 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 114 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/35>
09:42:55,098 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 117 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/36>
09:42:55,099 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 120 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/37>
09:42:55,099 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 123 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/38>
09:42:55,100 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 126 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/39>
09:42:55,100 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 129 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/40>
09:42:55,101 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 132 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/41>
09:42:55,102 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 135 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/42>
09:42:55,102 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 138 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/43>
09:42:55,102 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 141 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/44>
09:42:55,103 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 144 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/45>
09:42:55,104 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 147 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/46>
09:42:55,104 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 150 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/47>
09:42:55,105 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 153 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/48>
09:42:55,105 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 156 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/49>
09:42:55,106 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 159 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/50>
09:42:55,106 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 162 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/51>
09:42:55,107 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 165 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/52>
09:42:55,107 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 168 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/53>
09:42:55,108 WARN  [RDFDefaultErrorHandler] file:///home/rutvik/workspace/Project_NFR/(line 171 column 33): {W130} Base URI is "", relative URIs left as relative.: <r/54>
